time,impact_x,impact_y,impact_z,hit
0.07570338249206543,185.6557,7.919562,168.3811,terrain
4.447451114654541,150.0201,7.763304,280.1674,terrain
10.639734506607056,159.3803,7.7601,279.8281,terrain
16.87265372276306,168.7046,7.748932,278.8127,terrain
23.075273036956787,177.9173,7.747461,277.1306,terrain
29.49523901939392,186.9828,7.759685,274.7892,terrain
35.69609355926514,195.8579,7.745382,271.7997,terrain
41.904014110565186,204.4957,7.742385,268.1783,terrain
48.16125011444092,213.0563,7.775364,263.826,terrain
54.36366319656372,221.0744,7.772008,258.985,terrain
60.62519717216492,228.7227,7.76936,253.5784,terrain
66.82724380493164,235.9596,7.7672,247.635,terrain
73.00869822502136,242.7494,7.764895,241.1852,terrain
79.2466402053833,249.0576,7.747912,234.263,terrain
85.4463746547699,254.8487,7.745456,226.9027,terrain
91.94791913032532,261.4028,7.743259,217.0083,terrain
98.18068957328796,265.9189,7.77614,208.8024,terrain
104.50061321258545,269.8313,7.756306,200.2947,terrain
110.70087885856628,273.1204,7.753465,191.5284,terrain
116.92260408401489,275.7688,7.751366,182.5431,terrain
123.273366689682,277.8022,7.770529,173.1699,terrain
129.4750735759735,279.1157,7.767674,163.8974,terrain
135.72575616836548,279.7555,7.746074,154.5549,terrain
141.92716455459595,279.7207,7.744387,145.1893,terrain
148.11913537979126,279.012,7.74272,135.8524,terrain
154.3852195739746,277.6318,7.768299,126.591,terrain
160.58741784095764,275.587,7.76644,117.4515,terrain
166.82418942451477,272.7918,7.750058,108.2027,terrain
173.02599906921387,269.4337,7.7472,99.45923,terrain
179.2696259021759,265.455,7.751267,90.98293,terrain
185.49504041671753,260.8746,7.764844,82.8156,terrain
191.7004861831665,255.7177,7.762809,74.99784,terrain
198.0271806716919,249.7419,7.74573,67.24966,terrain
204.23829007148743,243.4914,7.743919,60.27504,terrain
210.6202883720398,236.7558,7.758048,53.771,terrain
216.82167887687683,229.5679,7.75573,47.76879,terrain
223.07905220985413,221.7155,7.765257,42.13339,terrain
229.37259101867676,213.5039,7.774461,37.12007,terrain
235.5660858154297,205.1773,7.771749,32.83772,terrain
241.87463784217834,196.0481,7.769327,28.97018,terrain
248.08825254440308,187.1759,7.742407,25.96593,terrain
254.5744113922119,178.0937,7.744786,23.60614,terrain
260.92784333229065,168.6737,7.762972,21.88024,terrain
267.26575756073,159.3079,7.768056,20.86487,terrain
273.67870831489563,149.8127,7.752431,20.53114,terrain
279.99389004707336,140.3122,7.741583,20.89328,terrain
286.3303816318512,130.8586,7.742532,21.95044,terrain
292.6031517982483,121.5597,7.747292,23.6855,terrain
299.0112669467926,112.2213,7.76184,26.15092,terrain
305.2841010093689,103.1751,7.776011,29.27158,terrain
311.86453461647034,94.51436,7.75392,32.98833,terrain
318.35321044921875,84.39199,7.77143,38.3323,terrain
324.7050964832306,76.48335,7.766255,43.35632,terrain
331.17725896835327,68.92877,7.758623,48.96112,terrain
337.560165643692,61.6591,7.752168,55.2291,terrain
344.13386511802673,54.85546,7.751542,62.03456,terrain
350.4866485595703,48.39933,7.753544,69.54575,terrain
356.9852817058563,42.65494,7.749131,77.34967,terrain
363.4775400161743,37.3373,7.741766,85.85857,terrain
369.7973906993866,32.79376,7.760015,94.54106,terrain
376.4128773212433,29.07232,7.753301,103.1444,terrain
382.7518837451935,25.96158,7.745665,112.0573,terrain
389.32133650779724,23.50224,7.753179,121.1917,terrain
395.6485984325409,21.68402,7.760272,130.6815,terrain
402.07459449768066,20.58635,7.773994,140.1586,terrain
408.42807841300964,20.18693,7.772658,149.8836,terrain
414.7204978466034,20.50192,7.749118,159.3965,terrain
421.4849750995636,21.50125,7.750317,168.7764,terrain
427.82796716690063,23.2239,7.747045,178.264,terrain
434.3578054904938,25.6202,7.768322,187.5108,terrain
440.60508608818054,28.70223,7.758427,196.5933,terrain
447.03785276412964,32.47879,7.764292,205.4957,terrain
453.4225468635559,37.22495,7.749168,214.6471,terrain
459.6528043746948,42.15294,7.74881,222.6095,terrain
466.46237683296204,47.70129,7.7599,230.2721,terrain
472.78323197364807,53.73146,7.765122,237.4498,terrain
479.40014028549194,60.48303,7.746118,244.3812,terrain
485.7597396373749,67.83464,7.774411,250.8691,terrain
492.18412709236145,75.5593,7.749541,256.7156,terrain
498.6661789417267,83.79156,7.767138,262.0269,terrain
505.0286250114441,92.15793,7.771839,266.5805,terrain
511.474650144577,100.9061,7.753603,270.537,terrain
517.728978395462,109.8786,7.746871,273.8225,terrain
524.480081319809,119.0992,7.745625,276.4388,terrain
530.8242061138153,128.4162,7.768061,278.3586,terrain
537.3982362747192,137.7871,7.746105,279.5898,terrain
543.9210948944092,148.4277,7.771133,280.156,terrain
550.2176516056061,158.084,7.768084,279.9127,terrain
556.5572197437286,167.6755,7.744678,278.9499,terrain
562.8284566402435,176.9816,7.744646,277.3196,terrain
569.6063539981842,186.1747,7.763948,275.011,terrain
575.9230020046234,195.1917,7.760911,272.032,terrain
