time,impact_x,impact_y,impact_z,hit
1.7914612293243408,188.0482,7.882671,132.1635,terrain
8.02956223487854,186.6265,7.885813,129.4446,terrain
14.322915315628052,185.0168,7.875981,126.8441,terrain
20.599945068359375,183.2208,7.873628,124.3645,terrain
26.891907691955566,181.2238,7.87814,121.9933,terrain
33.14401650428772,179.0964,7.90546,119.8199,terrain
39.449320793151855,176.796,7.878336,117.7826,terrain
45.72413754463196,174.3657,7.894124,115.9245,terrain
51.95590424537659,171.7986,7.894069,114.242,terrain
58.25145959854126,169.0752,7.873689,112.7304,terrain
64.53237199783325,166.2761,7.873205,111.4352,terrain
70.7983705997467,163.3869,7.896479,110.3474,terrain
77.10817980766296,160.4459,7.907018,109.4788,terrain
83.3635151386261,157.4458,7.893828,108.8257,terrain
89.73800873756409,154.3671,7.883062,108.388,terrain
95.97075510025024,151.3068,7.88612,108.1796,terrain
102.21498084068298,148.2616,7.873808,108.1932,terrain
108.482186794281,145.1624,7.887789,108.4338,terrain
114.72191143035889,142.1293,7.892721,108.8943,terrain
121.038893699646,139.0475,7.874975,109.5983,terrain
127.32709884643555,136.1359,7.891564,110.4926,terrain
133.54773616790771,133.2785,7.875525,111.6025,terrain
139.8183732032776,130.5211,7.892331,112.9109,terrain
146.04247522354126,127.854,7.892066,114.4222,terrain
152.35997247695923,125.2965,7.905098,116.1285,terrain
158.5808036327362,122.8859,7.898221,118.0028,terrain
164.84319138526917,120.595,7.897691,120.0682,terrain
171.07695198059082,118.4821,7.885762,122.2722,terrain
177.32260918617249,116.5084,7.90756,124.657,terrain
183.60952854156494,114.7046,7.906557,127.1954,terrain
189.8136122226715,113.1214,7.878011,129.8084,terrain
196.08989191055298,111.7268,7.88018,132.5397,terrain
202.37130212783813,110.5374,7.905863,135.3571,terrain
208.58971524238586,109.5521,7.895308,138.2625,terrain
214.83021807670593,108.7829,7.893885,141.2222,terrain
221.08229064941406,108.2295,7.905244,144.236,terrain
227.31049180030823,107.8974,7.880822,147.2618,terrain
233.54396963119507,107.7847,7.896564,150.3089,terrain
239.8317573070526,107.8946,7.876951,153.3933,terrain
246.06692790985107,108.2273,7.898936,156.4442,terrain
252.33094596862793,108.7763,7.908109,159.4405,terrain
258.6055397987366,109.561,7.907259,162.459,terrain
264.86783742904663,110.5461,7.891846,165.3602,terrain
271.11307764053345,111.7335,7.876998,168.1693,terrain
277.38774585723877,113.1362,7.907389,170.9135,terrain
283.6199142932892,114.7167,7.876341,173.5191,terrain
289.84443736076355,116.4979,7.88934,176.0252,terrain
296.0885772705078,118.4385,7.890687,178.3744,terrain
302.36286997795105,120.5538,7.904238,180.5878,terrain
308.6052715778351,122.8157,7.905375,182.6345,terrain
314.89187812805176,125.2221,7.905471,184.5143,terrain
321.27506136894226,127.834,7.881737,186.2625,terrain
327.5337960720062,130.5264,7.897852,187.7889,terrain
333.811998128891,133.3522,7.880167,189.1266,terrain
340.18345046043396,136.3033,7.877895,190.2624,terrain
346.7073678970337,139.4087,7.903711,191.1941,terrain
352.9935932159424,142.3882,7.88435,191.8512,terrain
359.24225783348083,145.4183,7.891397,192.2921,terrain
365.68491983413696,148.4554,7.883957,192.5118,terrain
371.9238820075989,151.5264,7.878735,192.5107,terrain
378.37580704689026,154.6167,7.903496,192.2832,terrain
384.6919221878052,157.7601,7.905587,191.8146,terrain
390.9642674922943,160.7426,7.888487,191.1417,terrain
397.3495862483978,163.7078,7.888651,190.2411,terrain
403.65747714042664,166.601,7.901638,189.1161,terrain
409.92056822776794,169.3755,7.874806,187.803,terrain
416.2198750972748,172.0477,7.902638,186.2938,terrain
422.5976746082306,174.6198,7.881922,184.5817,terrain
428.8280727863312,177.0272,7.873197,182.7134,terrain
435.10111570358276,179.3046,7.874547,180.6658,terrain
441.5610649585724,181.432,7.898002,178.4529,terrain
447.83647203445435,183.4063,7.879714,176.0825,terrain
454.1550462245941,185.1765,7.898738,173.6049,terrain
460.3984832763672,186.7793,7.900822,170.9752,terrain
467.06747603416443,188.1778,7.90479,168.253,terrain
473.42903566360474,189.4334,7.907232,165.2844,terrain
479.69096875190735,190.4135,7.881885,162.3813,terrain
486.3179965019226,191.1812,7.880319,159.4114,terrain
492.5832691192627,191.7282,7.886396,156.4102,terrain
499.0599570274353,192.0607,7.875852,153.3199,terrain
505.3617684841156,192.1659,7.890671,150.2648,terrain
511.59308791160583,192.0471,7.899809,147.1788,terrain
518.2722799777985,191.5671,7.879115,143.2622,terrain
524.5227613449097,190.9458,7.90835,140.2734,terrain
531.0499768257141,190.1045,7.896268,137.3215,terrain
537.3000159263611,189.0545,7.885299,134.4467,terrain
544.1193535327911,187.8025,7.900469,131.6616,terrain
550.3657486438751,186.3572,7.903986,128.9835,terrain
556.5660836696625,184.7228,7.903277,126.4164,terrain
563.109014749527,182.8873,7.889065,123.9489,terrain
569.5933158397675,180.808,7.903429,121.548,terrain
576.1124274730682,178.5473,7.902739,119.3042,terrain
582.5109777450562,176.1174,7.888007,117.2321,terrain
589.3678712844849,173.5514,7.873657,115.3586,terrain
595.7961120605469,170.7919,7.896434,113.6494,terrain
602.2481415271759,168.0049,7.885869,112.2029,terrain
608.6618936061859,165.1282,7.886271,110.9715,terrain
615.0907473564148,162.1165,7.894823,109.9411,terrain
621.9758901596069,159.1112,7.879167,109.1574,terrain
628.1980466842651,155.9421,7.887526,108.5804,terrain
634.6483323574066,152.8501,7.899006,108.2545,terrain
